citation,sentence
8C_207/2020 E. 1.1,"Immerhin prüft das Bundesgericht, unter Berücksichtigung der allgemeinen Pflicht zur Begründung der Beschwerde (Art. 42 Abs. 1 und 2 BGG), grundsätzlich nur die geltend gemachten Rügen, sofern die rechtlichen Mängel nicht geradezu offensichtlich sind (BGE 141 V 234 E. 1 S. 236 mit Hinweisen)."
8G_1/2019 E. 1,deshalb darauf nicht einzutreten ist
8G_1/2019 E. 1,die Gerichtskosten ausgangsgemäss dem Gesuchsteller zu überbinden sind (Art. 66 Abs. 1 und 3 BGG)
2C_205/2010 16.07.2010 E. 4,Dieses ist indessen wegen Aussichtslosigkeit seiner Begehren abzuweisen (vgl. Art. 64 Abs. 1 BGG).
2C_205/2010 16.07.2010 E. 4,"Angesichts des Verfahrensausgangs sind die Kosten des bundesgerichtlichen Verfahrens damit dem Beschwerdeführer aufzuerlegen (Art. 66 Abs. 1, Art. 65 BGG)."
2C_471/2008 30.06.2008 E. 2,"Soweit es um die Anwendung von Art. 7 ANAG geht, fehlt es mithin offensichtlich an einer hinreichenden Beschwerdebegründung (Art. 108 Abs. 1 lit. b BGG)."
2C_471/2008 30.06.2008 E. 2,"Erst recht gilt dies hinsichtlich der Frage, ob dem Beschwerdeführer die Bewilligung unabhängig vom Anspruchstatbestand von Art. 7 ANAG, im Bereich von Art. 4 ANAG (E. 3 des angefochtenen Entscheids), verweigert werden durfte: Diesbezüglich wäre die Beschwerde in öffentlich-rechtlichen Angelegenheiten mangels Bewilligungsanspruchs unzulässig (Art. 83 lit. c Ziff. 2 BGG) und wäre - höchstens - die subsidiäre Verfassungsbeschwerde wegen Verletzung verfassungsmässiger Rechte (Art. 113 und 116 BGG) gegeben."
2C_471/2008 30.06.2008 E. 2,"Der Beschwerdeführer nennt zwar das Willkürverbot, legt aber nicht dar, inwiefern dieses Grundrecht verletzt worden sein könnte (vgl. Art. 106 Abs. 2 in Verbindung mit Art. 42 Abs. 2 BGG)."
2C_471/2008 30.06.2008 E. 2,2.3 Auf die Beschwerde ist nach dem Gesagten im vereinfachten Verfahren nach Art. 108 BGG nicht einzutreten.
2C_471/2008 30.06.2008 E. 2,"2.4 Soweit mit dem Begehren um Verzicht auf einen Kostenvorschuss auch ein Gesuch um unentgeltliche Rechtspflege gestellt werden sollte, wäre diesem wegen Aussichtslosigkeit der Beschwerde nicht zu entsprechen (Art. 64 BGG). Dem Verfahrensausgang entsprechend sind die Gerichtskosten (Art. 65 BGG) dem Beschwerdeführer aufzuerlegen (Art. 66 Abs. 1 Satz 1 BGG)."
8C_1027/2010 18.01.2011 E. 1,der Vorinstanz verwiesen wird (Art. 109 Abs. 3 BGG)
8C_1027/2010 18.01.2011 E. 1,dass die offensichtlich unbegründete Beschwerde im vereinfachten Verfahren (Art. 109 Abs. 2 lit. a BGG) sowie ohne Durchführung eines Schriftenwechsels (Art. 102 Abs. 1 BGG) zu erledigen ist
8C_1027/2010 18.01.2011 E. 1,die Gerichtskosten der Beschwerdeführerin als unterliegender Partei aufzuerlegen sind (Art. 66 Abs. 1 BGG)
9C_75/2023 E. 5.3,"Insbesondere hat sie sicherzustellen, dass Personen, die ihre Ferienwohnungen ausschliesslich vermieten, von ihren Gästen die geschuldeten Kurtaxen einkassieren und diese Einnahmen vollständig an die Gemeinde abliefern."
9C_75/2023 E. 5.3,"Verzichtet die Gemeinde darauf, die einkassierten Kurtaxen von den gewerblichen Vermietern herauszuverlangen, setzt sie sich dem Vorwurf aus, die Kurtaxen zur Subventionierung der Parahotellerie und damit zweckwidrig zu verwenden."
5A_949/2018 E. 2,Eine Verletzung des Untersuchungsgrundsatzes und damit des rechtlichen Gehörs der Beschwerdeführerin sei unter diesen Umständen nicht festzustellen.
5A_949/2018 E. 2,"Da sich die Beschwerde als aussichtlos erweise, sei das Gesuch um Gewährung der unentgeltliche Rechtspflege und Verbeiständung für das Beschwerdeverfahren ebenfalls abzuweisen."
6B_294/2025 E. 9.2,Die Haftdauer wird in vollem Umfang und gesetzeskonform realiter auf die ausgefällte Strafe angerechnet.
6B_294/2025 E. 9.2,In dieser Konstellation der rechtmässigen Untersuchungshaft und gesetzlichen Anrechnung ist sowohl ein Schadenersatzanspruch (Genugtuung) nach StPO als auch ein solcher unmittelbar gestützt auf Art. 5 Ziff. 5 EMRK zu verneinen (Urteil 6B_747/2016 vom 27. Oktober 2016 E. 3.6.1 mit Hinweisen).
6B_294/2025 E. 9.2,Mangels materieller Ausschöpfung des Instanzenzugs (vgl. Art. 80 Abs. 1 BGG) ist deshalb darauf nicht einzugehen (vgl. Urteile 6B_53/2024 vom 13. Januar 2025 E. 2.2.1; 6B_1385/2023 vom 19. September 2024 E. 1.1.2).
7B_880/2024 E. 2,"Für die Rüge der Verletzung von Grundrechten, einschliesslich der Anfechtung des Sachverhalts wegen Willkür (vgl. Art. 97 Abs. 1 BGG), gelten qualifizierte Rügeanforderungen (Art. 106 Abs. 2 BGG)."
6B_969/2008 16.02.2009 E. 6,"Soweit sich seine Beschwerde gegen die Einstellung des Strafverfahrens wegen der Widerhandlung im Sinne von Art. 112 Abs. 4 UVG richtet, ist darauf nicht einzutreten."
4A_535/2017 E. 1,"dass die Beschwerde demnach offensichtlich keine hinreichende Begründung enthält, weshalb im vereinfachten Verfahren gemäss Art. 108 Abs. 1 lit. b BGG auf sie nicht einzutreten ist;"
4A_535/2017 E. 1,dass bei diesem Ausgang des Verfahrens die Gerichtskosten gemäss Art. 66 Abs. 1 BGG dem Beschwerdeführer aufzuerlegen sind;
5D_201/2018 E. 2,"des angefochtenen Entscheids klar und detailliert darzulegen ist, inwiefern verfassungsmässige Rechte verletzt worden sein sollen (BGE 133 II 396 E. 3.1 S. 399; 142 III 364 E. 2.4 S. 368)."
4A_449/2024 E. 3.1,"des angefochtenen Entscheids darzulegen ist, inwiefern verfassungsmässige Rechte verletzt worden sein sollen (BGE 135 III 232 E. 1.2; 134 I 83 E. 3.2; je mit weiteren Hinweisen)."
6B_888/2024 E. 3.3,"Diese erwägt, eine Notwehrhandlung falle schon deshalb ausser Betracht, weil der Beschwerdeführer mit seinem initialen Faustschlag gegen B.C.________ der eigentliche Auslöser der gewalttätigen Auseinandersetzung gewesen sei."
6B_888/2024 E. 3.3,"Die Vorinstanz erwägt schlüssig, der Beschwerdeführer sei A.B.________ gefolgt und habe mehrfach auf ihn eingestochen, ohne dass Anhaltspunkte für einen erneuten Angriff von A.B.________ bestanden hätten."
6B_888/2024 E. 3.3,"Was den Messerstich in den linken Oberbauch von A.C.________ betrifft, erwägt die Vorinstanz, von A.C.________ sei zu keinem Zeitpunkt eine Gefahr ausgegangen, was eine Notwehrsituation ebenfalls ausschliesse."
9C_663/2018 E. 5,im angefochtenen Entscheid (Art. 109 Abs. 3 BGG) erledigt wird.
2C_530/2010 21.03.2011 E. 4,Bei diesem Ausgang des Verfahrens wird der Kanton kosten- und entschädigungspflichtig (vgl. Art. 65 f. BGG u. 68 BGG).
I 368/02 23.01.2004 E. 2,Damit besteht kein Anspruch auf eine Rente der Invalidenversicherung.
5A_96/2018 E. 3,"Gründe, weshalb die Berufungsanträge - trotz Abweisung - nicht als aussichtslos im Sinne von Art. 117 lit. b ZPO und Art. 29 Abs. 3 Satz 1 in fine BV hätten bezeichnet werden dürfen, erörtert die Beschwerdeführerin nicht."
5A_96/2018 E. 3,"Die Beschwerde ist abzuweisen, soweit darauf einzutreten ist."
4A_20/2012 03.07.2012 E. B,"Mit Urteil vom 7. Juli 2004 hiess das Bundesgericht ein Erläuterungsgesuch der Beklagten teilweise gut und erläuterte seinen Rückweisungsentscheid vom 2. Juli 2003 in dem Sinne, dass Alternativformen mit den Formen der Beklagten nicht kompatibel bzw. zusammenbaubar sein müssten (Urteil 4C.86/2004)."
4A_20/2012 03.07.2012 E. B,"Die vom Bundesgericht angeordnete Rückweisung sei allein zur tatsächlichen Feststellung erfolgt, ob die nach dem handelsgerichtlichen Urteil vom 17. Dezember 2002 bestehenden praktikablen Alternativen zu runden, gefüllten Noppen ebenso praktisch, ebenso solide und mit keinen grösseren Herstellungskosten verbunden seien als die umstrittene, als Marke beanspruchte Form der auf dem Quader aufgesetzten Noppen (Urteil 4C.86/2004 vom 7. Juli 2004 E. 2.1.1 mit Verweis auf BGE 129 III 514 E. 3.2.4 S. 524)."
6B_963/2016 E. 1.1,"Sei die Notwendigkeit der Anordnung einer Zwangsmedikation absehbar, sei diese auch gleich im Urteilsdispositiv festzuhalten."
6B_963/2016 E. 1.1,"Äussere sich, wie vorliegend, lediglich die zweite Instanz zur Frage der Zwangsmedikation und bejahe sie eine solche ausdrücklich, stelle das eine reformatio in peius dar, ""auch wenn sich diese in den Erwägungen versteckt""."
1C_141/2023 E. B,"Mit Urteil vom 7. Februar 2023 hiess das Verwaltungsgericht die Beschwerde teilweise gut und verfügte, dass der geplante Carport gegenüber der gemeinsamen Grenze der beiden Parzellen Nrn. 560 und 561 in der Gemeinde Zizers einen Grenzabstand von 2.5 m einzuhalten haben."
6B_32/2008 13.05.2008 E. 2,Die Voraussetzungen für den bedingten Strafvollzug nach Art. 42 Abs. 1 StGB sind daher gegeben.
6B_32/2008 13.05.2008 E. 2,"Indem die Vorinstanz den Vollzug der Freiheitsstrafe von zwei Jahren nur teilweise (und nicht vollumfänglich) aufschiebt, hat sie Bundesrecht verletzt."
4A_424/2022 E. 2.1,"des angefochtenen Entscheids dargelegt werden, inwiefern dieser Recht verletzt (Art. 42 Abs. 2 BGG; BGE 140 III 86 E. 2, 115 E. 2)."
4A_424/2022 E. 2.1,"Eine allfällige Verletzung von Grundrechten wird vom Bundesgericht nicht von Amtes wegen geprüft, sondern nur insofern, als eine solche Rüge in der Beschwerde präzise vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG)."
4A_424/2022 E. 2.1,"Unerlässlich ist im Hinblick auf Art. 42 Abs. 2 und Art. 106 Abs. 2 BGG, dass die Beschwerde auf die Begründung des angefochtenen Entscheids eingeht und im Einzelnen aufzeigt, worin eine Rechtsverletzung liegt."
4A_424/2022 E. 2.1,"Die beschwerdeführende Partei soll in der Beschwerdeschrift nicht bloss die Rechtsstandpunkte, die sie im vorinstanzlichen Verfahren eingenommen hat, erneut bekräftigen, sondern mit ihrer Kritik an den als rechtsfehlerhaft erachteten Erwägungen der Vorinstanz ansetzen (BGE 140 III 86 E. 2, 115 E. 2)."
4A_424/2022 E. 2.1,Die Begründung hat ferner in der Beschwerdeschrift selbst zu erfolgen und der blosse Verweis auf Ausführungen in anderen Rechtsschriften oder auf die Akten reicht nicht aus (BGE 143 II 283 E. 1.2.3; 140 III 115 E. 2).
4A_424/2022 E. 2.1,"Stützt sich der angefochtene Entscheid auf mehrere selbständige Begründungen, so muss sich die Beschwerde mit jeder einzelnen auseinandersetzen, sonst wird darauf nicht eingetreten (BGE 142 III 364 E. 2.4 mit Hinweisen; vgl. auch BGE 143 IV 40 E. 3.4)."
5A.3/2002 29.04.2002 E. 5,"d) Demzufolge ist auch der Schluss der Vorinstanz, dass der Beschwerdeführer im Zuge des Einbürgerungsverfahrens wesentliche Sachverhalte verschwiegen und dadurch das Schweizer Bürgerrecht erschlichen hat, nicht zu beanstanden."
I 252/02 10.10.2002 E. 1,"zur Bemessung der Taggelder bei Umschulung (Art. 24 Abs. 2 IVG in Verbindung mit Art. 21 IVV; ""grosses Taggeld"") und bei erstmaliger beruflicher Ausbildung (Art. 24 Abs. 2bis IVG in Verbindung mit Art. 21bis IVV; ""kleines Taggeld"") sowie zu den Voraussetzungen einer Gleichstellung der erstmaligen beruflichen Ausbildung mit der Umschulung (Art. 6 Abs. 2 IVV)."
4D_14/2010 08.04.2010 E. 1,"des kantonalen Entscheids dargelegt werden muss, welche Rechte der beschwerdeführenden Partei durch das kantonale Gericht verletzt worden sind (Art. 42 Abs. 2 BGG)"
4D_14/2010 08.04.2010 E. 1,"eine allfällige Verletzung der bundesrechtlichen Grundrechte oder kantonaler verfassungsmässiger Rechte vom Bundesgericht nicht von Amtes wegen geprüft wird, sondern nur dann, wenn entsprechende Rügen in der Beschwerdeschrift ausdrücklich erhoben und begründet werden (Art. 106 Abs. 2 BGG)"
4D_14/2010 08.04.2010 E. 1,"dass die Beschwerde gegen selbständig eröffnete Vor- und Zwischenentscheide, die weder die Zuständigkeit noch den Ausstand betreffen, nur zulässig ist, wenn sie entweder einen nicht wieder gutzumachenden Nachteil bewirken können oder wenn die Gutheissung der Beschwerde sofort einen Endentscheid herbeiführen und damit einen bedeutenden Aufwand an Zeit oder Kosten für ein weitläufiges Beweisverfahren ersparen würde (Art. 93 Abs. 1 BGG)"
4D_14/2010 08.04.2010 E. 1,"dass der Beschwerdeführer nicht darlegt, inwiefern die Eintretensvoraussetzungen von Art. 93 Abs. 1 BGG erfüllt sind"
4D_14/2010 08.04.2010 E. 1,"dass der Beschwerdeführer im Übrigen zwar einzelne verfassungsmässige Rechte erwähnt, jedoch lediglich den Entscheid des Gerichtspräsidenten von Bremgarten kritisiert, ohne unter Bezugnahme auf die Erwägungen des angefochtenen Urteils des Obergerichts des Kantons Aargau darzulegen, inwiefern die angerufenen Grundrechte durch die Vorinstanz verletzt worden sein sollen (Art. 42 Abs. 2 BGG)"
4D_14/2010 08.04.2010 E. 1,"dass die Eingabe des Beschwerdeführers vom 27. Januar 2010 die erwähnten Begründungsanforderungen daher offensichtlich nicht erfüllt, weshalb auf die Beschwerde in Anwendung von Art. 108 Abs. 1 lit. b BGG nicht eingetreten werden kann"
4D_14/2010 08.04.2010 E. 1,dass dem Ausgang des Verfahrens entsprechend die Kosten dem Beschwerdeführer aufzuerlegen sind (Art. 66 Abs. 1 BGG)
1C_668/2017 E. A,"7.6 Die Bauherrschaft ist verpflichtet, vor Baubeginn mit den Grundeigentümern von KTN 2396 und KTN 2401 einen Dienstbarkeitsvertrag betreffend die ungleiche Verteilung der Grenzabstände abzuschliessen und im Grundbuch eintragen zu lassen. Vor der Baufreigabe ist dem Hochbauamt Wollerau eine Kopie des Grundbucheintrages einzureichen."
8C_447/2014 E. 1.1,"Gemäss Art. 42 Abs. 1 BGG ist die Beschwerde hinreichend zu begründen, andernfalls wird darauf nicht eingetreten (Art. 108 Abs. 1 lit. b BGG)."
8C_447/2014 E. 1.1,"Es kann die Verletzung von Grundrechten und von kantonalem und interkantonalem Recht nur insofern prüfen, als eine solche Rüge in der Beschwerde vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG)."
4D_92/2011 18.01.2012 E. 1,"dass die Eingabe des Beschwerdeführers vom 15. November 2011 diesen Anforderungen offensichtlich nicht genügt, weshalb auf die Beschwerde mangels hinreichender Begründung nicht einzutreten ist (Art. 108 Abs. 1 lit. b BGG);"
4D_92/2011 18.01.2012 E. 1,dass die Gerichtskosten dem Beschwerdeführer aufzuerlegen sind (Art. 66 Abs. 1 BGG);
4A_320/2025 E. 4.2,der Vorinstanz ansetzen (BGE 148 IV 205 E. 2.6; 140 III 86 E. 2).
4A_320/2025 E. 4.2,Die Begründung hat ferner in der Beschwerdeschrift selbst zu erfolgen und der blosse Verweis auf Ausführungen in anderen Rechtsschriften oder auf die Akten reicht nicht aus (BGE 143 II 283 E. 1.2.3; 140 III 115 E. 2).
4A_320/2025 E. 4.2,"Stützt sich der angefochtene Entscheid auf mehrere selbstständige Begründungen, so muss sich die Beschwerde mit jeder einzelnen auseinandersetzen, sonst wird darauf nicht eingetreten (BGE 149 III 318 E. 3.1.3; 142 III 364 E. 2.4)."
5A_767/2013 E. 2.2,"des angefochtenen Entscheids darzulegen, welche Rechte der beschwerdeführenden Partei durch das kantonale Gericht verletzt worden sind (Art. 42 Abs. 2 BGG; BGE 134 II 244 E. 2.1 S. 245)"
5A_767/2013 E. 2.2,"wobei eine allfällige Verletzung verfassungsmässiger Rechte vom Bundesgericht nicht von Amtes wegen geprüft wird, sondern nur dann, wenn solche Rügen in der Beschwerdeschrift ausdrücklich erhoben und begründet werden (Art. 106 Abs. 2 BGG; BGE 135 III 232 E. 1.2 S. 234)."
5A_767/2013 E. 2.2,"Wird eine Sachverhaltsfeststellung beanstandet, muss in der Beschwerdeschrift dargelegt werden, inwiefern diese Feststellung willkürlich oder durch eine andere Rechtsverletzung im Sinn von Art. 95 BGG (z.B. Art. 29 Abs. 2 BV oder Art. 8 ZGB) zustande gekommen ist (vgl. BGE 133 II 249 E. 1.2.2 und 1.4.3 S. 255) und inwiefern die Behebung des Mangels für den Ausgang des Verfahrens entscheidend sein kann (Art. 97 Abs. 1 in fine BGG; BGE 135 I 19 E. 2.2.2 S. 22)."
1C_274/2015 E. 6.2.3,Der angefochtene Entscheid verletzt somit Art. 3 Ziff. 2 erster Teilsatz EAUe nicht.
U 101/03 11.05.2004 E. 1,"Rückfälle und Spätfolgen stellen besondere revisionsrechtliche Tatbestände dar (Art. 22 UVG; BGE 127 V 457 Erw. 4b, 118 V 297 Erw. 2d; SVR 2003 UV Nr. 14 S. 43 Erw. 4.2)."
U 101/03 11.05.2004 E. 1,"Entsprechend können sie eine Leistungspflicht des (damaligen) Unfallversicherers nur auslösen, wenn zwischen den erneut geltend gemachten Beschwerden und der seinerzeit beim versicherten Unfall erlittenen Gesundheitsschädigung ein natürlicher und adäquater Kausalzusammenhang besteht (BGE 118 V 296 f. Erw. 2c; RKUV 1994 Nr. U 206 S. 327 Erw. 2; SVR 2003 UV Nr. 14 S. 43 Erw. 4 Ingress)."
2C_656/2022 E. 2.1,"des angefochtenen Urteils aufzuzeigen, inwiefern die entsprechenden Rechtsnormen verletzt worden sein sollen (Art. 106 Abs. 2 BGG; BGE 140 II 141 E. 8; 139 I 229 E. 2.2)."
5A_211/2007 16.08.2007 E. 2,"Mit jenem mündlich eröffneten Beweisentscheid verfügte die Amtsgerichtspräsidentin, dass die aufgelegten Urkunden zu den Akten genommen werden und der Beschwerdeführerin das Einsichtsrecht in die beklagtischen Belege 3 und 4 im Sinne von § 61 Abs. 2 und § 142 Abs. 1 ZPO/LU verweigert wird."
8C_905/2011 06.06.2012 E. 1,der Vorinstanz gebunden; es kann eine Beschwerde aus einem anderen als dem angerufenen Grund gutheissen und es kann eine Beschwerde mit einer von der Argumentation der Vorinstanz abweichenden Begründung abweisen (BGE 134 V 250 E. 1.2 S. 252 mit Hinweisen).
6B_409/2021 E. 3,Diese wird insbesondere das Vorkommnis vom 26. November 2016 tatbestandlich neu einzuordnen haben.
6B_409/2021 E. 3,"Ferner hat sie sich, nachdem der Schuldspruch wegen räuberischen Diebstahls gemäss Art. 140 Ziff. 1 Abs. 2 StGB aufzuheben ist, abermals mit den Rechtsfolgen zu befassen."
6B_409/2021 E. 3,"Dazu gehört auch die Landesverweisung, da die Vorinstanz dem Gewaltelement, das dem Tatbestand des räuberischen Diebstahls inhärent ist, bei der Beurteilung der öffentlichen Interessen an einer derartigen Massnahme (gegenüber den privaten Interessen des ausländischen Delinquenten am Verbleib in der Schweiz, vgl. Art. 66a Abs. 2 StGB) ebenfalls Rechnung getragen hat."
8C_888/2017 E. 4,"zeigen, ist nicht ersichtlich, inwiefern seine nicht berücksichtigen vorinstanzlichen Einwände den angefochtenen Entscheid im Ergebnis in Frage zu stellen vermöchten (vgl. auch Urteil 8C_71/2017 vom 20. April 2017 E. 11)."
1B_681/2011 08.03.2012 E. 2,"Es führte aus, dieser liege gemäss Art. 163 Abs. 1 StGB vor, wenn ein Schuldner zum Schaden der Gläubiger sein Vermögen zum Scheine vermindert, namentlich Vermögenswerte beiseite schafft oder verheimlicht."
1B_681/2011 08.03.2012 E. 2,Demnach fehlt der Beschwerdeführerin die Legitimation im Sinne von Art. 81 Abs. 1 lit. b Ziff. 5 BGG.
6B_224/2023 E. 3.1.3,"abweichenden Begründung gutheissen oder abweisen (BGE 146 IV 88 E. 1.3.2; 143 V 19 E. 2.3; Urteile 6B_243/2022 vom 18. Januar 2023 E. 2.1; 6B_1476/2021 vom 25. August 2022 E. 2), vorausgesetzt die Beschwerde genügt den Begründungsanforderungen (Art. 42 Abs. 2 BGG)."
6B_224/2023 E. 3.1.3,"Der Grundsatz der Rechtsanwendung von Amtes wegen gilt von vornherein nur im Rahmen des Streitgegenstandes, der dem Gericht zur Entscheidung vorliegt (BGE 142 I 99 E. 1.7.1 mit Hinweis)."
6B_224/2023 E. 3.1.3,Es darf nach Art. 107 Abs. 1 BGG zudem nicht über die Begehren der Parteien hinausgehen.
6B_1405/2022 E. 1,"Die vorinstanzliche Sachverhaltsfeststellung und Beweiswürdigung kann nur gerügt werden, wenn sie offensichtlich unrichtig ist oder auf einer Rechtsverletzung im Sinne von Art. 95 BGG beruht, und wenn die Behebung des Mangels für den Ausgang des Verfahrens entscheidend sein kann (Art. 97 Abs. 1 BGG; Art. 105 Abs. 1 und 2 BGG; BGE 147 IV 73 E. 4.1.2)."
6B_1405/2022 E. 1,"Offensichtlich unrichtig ist die Sachverhaltsfeststellung, wenn sie willkürlich ist (BGE 141 IV 249 E. 1.3.1)."
6B_1405/2022 E. 1,"Erforderlich ist, dass der Entscheid nicht nur in der Begründung, sondern auch im Ergebnis willkürlich ist (BGE 147 IV 73 E. 4.1.2; 146 IV 88 E. 1.3.1)."
6B_1405/2022 E. 1,Für die Willkürrüge gelten erhöhte Begründungsanforderungen (Art. 97 Abs. 1 und Art. 106 Abs. 2 BGG).
5A_463/2016 E. 4,Damit fehlt es an einer materiellen Voraussetzung für die Bewilligung der unentgeltlichen Rechtspflege (Art. 64 Abs. 1 BGG).
8C_709/2014 E. 1.2,der Vorinstanz gebunden; es kann eine Beschwerde aus einem anderen als dem angerufenen Grund gutheissen und es kann sie mit einer von der Argumentation der Vorinstanz abweichenden Begründung abweisen (BGE 130 III 136 E. 1.4 S. 140).
8C_709/2014 E. 1.2,"Immerhin prüft das Bundesgericht, unter Berücksichtigung der allgemeinen Begründungspflicht der Beschwerde (Art. 42 Abs. 1 und 2 BGG), grundsätzlich nur die geltend gemachten Rügen, sofern die rechtlichen Mängel nicht geradezu offensichtlich sind (BGE 133 II 249 E. 1.4.1 S. 254)."
8C_346/2010 21.07.2010 E. 1,der Vorinstanz gebunden (vgl. BGE 132 II 257 E. 2.5 S. 262; 130 III 136 E. 1.4 S. 140).
8C_346/2010 21.07.2010 E. 1,"Es ist jedenfalls nicht gehalten, wie eine erstinstanzliche Behörde alle sich stellenden rechtlichen Fragen zu untersuchen, wenn diese letztinstanzlich nicht mehr aufgegriffen werden (BGE 133 II 249 E. 1.4.1 S. 254)."
8C_206/2024 E. 4.3,"des kantonalen Gerichts wäre in diesem Bereich für die Bejahung der Unfalladäquanz von organisch nicht hinreichend nachweisbaren Beschwerden erforderlich, dass mindestens drei Adäquanzkriterien erfüllt sind oder eines davon in besonders ausgeprägter Form gegeben ist (Urteil 8C_45/2019 vom 1. April 2019 E. 4.2 mit Hinweis auf SVR 2010 UV Nr. 25 S. 100, 8C_897/2009 E. 4.5)."
2A.457/2003 16.01.2004 E. 3,In Anwendung von Art. 8 Abs. 1 BV sei somit Schweizer Bürgern ein aus Art. 3 Anhang I FZA abgeleiteter (analoger) Rechtsanspruch auf Familiennachzug eines aus einem Drittstaat stammenden Angehörigen einzuräumen.
2A.457/2003 16.01.2004 E. 3,"Im Falle des Beschwerdegegners seien die Voraussetzungen für den von ihm anbegehrten Nachzug seines Sohnes gemäss den Bestimmungen des Freizügigkeitsabkommens erfüllt, weshalb das Gesuch zu bewilligen sei."
4A_227/2011 10.01.2012 E. 1.2,"Das Bundesgericht legt seinem Urteil den Sachverhalt zugrunde, den die Vorinstanz festgestellt hat (Art. 105 Abs. 1 BGG)."
4A_227/2011 10.01.2012 E. 1.2,"Es kann die Sachverhaltsfeststellung der Vorinstanz nur berichtigen oder ergänzen, wenn sie offensichtlich unrichtig ist oder auf einer Rechtsverletzung im Sinn von Art. 95 BGG beruht (Art. 105 Abs. 2 BGG)."
4A_227/2011 10.01.2012 E. 1.2,Überdies muss die Behebung des Mangels für den Ausgang des Verfahrens entscheidend sein (Art. 97 Abs. 1 BGG).
9F_10/2010 05.08.2010 E. 1,dass die Revision eines bundesgerichtlichen Urteils nur unter den in den Art. 121 ff. BGG genannten Voraussetzungen zulässig ist
9F_10/2010 05.08.2010 E. 1,"dass somit kein Grund für eine Revision, insbesondere auch nicht nach Art. 121 Abs. lit. d oder Art. 123 Abs. 2 lit. a BGG, besteht"
9F_10/2010 05.08.2010 E. 1,dass gestützt auf Art. 66 Abs. 1 Satz 2 BGG auf die Erhebung von Gerichtskosten verzichtet wird
1B_327/2020 E. 4.5,"Dabei würde das Obergericht davon ausgehen können, dass die unter E. 4.2 erwähnten Verhaltensweisen weder je für sich allein noch in einer Gesamtwürdigung eine Ausstandspflicht der Beschwerdegegnerin begründen."
1B_327/2020 E. 4.5,"Es hätte folglich nur noch darüber zu befinden, ob der neu zu berücksichtigende Umstand allein bzw. in einer erweiterten Gesamtwürdigung einen ausreichenden Anschein der Befangenheit der Beschwerdegegnerin zu schaffen vermöchte."
5P.466/2000 18.01.2001 E. 6,"der Vorinstanz zu verweisen, wenn sie diese bezüglich eines bestimmten Einwandes zu den ihren machen will (BGE 119 II 478 E. 1d S. 480)."
